instance,run,runtime,total_iterations,iterations_since_last_improvement,cost,seed,k
c101,RoutingBlocks,382.1709308624268,2738,1100,1043.3817138671875,10,12
c102,RoutingBlocks,350.1392431259155,1792,1100,1074.0672607421875,27,10
c103,RoutingBlocks,654.9044954776764,2834,1100,973.9186401367188,17,10
c104,RoutingBlocks,1070.2485990524292,3158,1100,892.33374,18,10
c105,RoutingBlocks,739.1746475696564,3309,1100,1064.66259765625,27,10
c106,RoutingBlocks,574.4855468273163,2882,1100,1091.14404296875,19,10
c107,RoutingBlocks,482.7894058227539,2717,1100,1088.4337158203125,12,10
c108,RoutingBlocks,607.1790721416473,2525,1100,1055.6968994140625,17,10
c109,RoutingBlocks,491.6419458389282,2097,1100,954.765869140625,11,10
c201,RoutingBlocks,136.10846829414368,1122,1100,629.9494018554688,20,4
c202,RoutingBlocks,160.79297184944153,1152,1100,629.9494018554688,17,4
c203,RoutingBlocks,207.13597655296329,1139,1100,629.9494018554688,26,4
c204,RoutingBlocks,251.2168076038361,1207,1100,628.9127197265625,21,4
c205,RoutingBlocks,188.12692093849185,1130,1100,629.9494018554688,25,4
c206,RoutingBlocks,220.7062356472016,1203,1100,629.9494018554688,26,4
c207,RoutingBlocks,233.36846017837524,1133,1100,629.9494018554688,14,4
c208,RoutingBlocks,217.98685765266416,1114,1100,629.9494018554688,16,4
r101,RoutingBlocks,1815.910068511963,4777,1100,1639.6837158203125,16,17
r102,RoutingBlocks,1461.4501385688782,4759,1100,1454.9166259765625,20,15
r103,RoutingBlocks,1375.4645199775696,4857,1100,1211.404296875,10,13
r104,RoutingBlocks,1013.3450107574464,4734,1100,1056.6898193359375,11,11
r105,RoutingBlocks,1234.3929390907288,4099,1100,1347.79931640625,19,14
r106,RoutingBlocks,1495.938785791397,4837,1100,1263.1259765625,25,13
r107,RoutingBlocks,681.0003850460052,3699,1100,1108.4681396484375,17,11
r108,RoutingBlocks,422.238555431366,2252,1100,1021.47119140625,13,11
r109,RoutingBlocks,952.4956777095796,3728,1100,1185.39990234375,19,12
r110,RoutingBlocks,1396.6207337379456,5000,955,1069.182861328125,12,11
r111,RoutingBlocks,692.8011796474457,3277,1100,1073.150634765625,25,11
r112,RoutingBlocks,929.9240958690644,3800,1100,1001.7865600585938,24,11
r201,RoutingBlocks,560.9433178901672,3914,1100,1255.814697265625,17,3
r202,RoutingBlocks,274.08194756507874,1822,1100,1051.4573974609375,24,3
r203,RoutingBlocks,538.693329334259,4268,1100,895.5376586914062,22,3
r204,RoutingBlocks,333.1472101211548,2596,1100,779.5738525390625,13,2
r205,RoutingBlocks,281.67943143844604,2650,1100,987.3619384765624,10,3
r206,RoutingBlocks,546.1812100410461,4555,1100,925.3714599609376,27,3
r207,RoutingBlocks,244.77444434165955,1726,1100,843.1953125,16,2
r208,RoutingBlocks,275.651531457901,2546,1100,737.295654296875,19,2
r209,RoutingBlocks,245.373788356781,2010,1100,871.5529174804688,18,3
r210,RoutingBlocks,260.7476444244385,2211,1100,844.7066650390625,11,3
r211,RoutingBlocks,548.5446496009827,4210,1100,823.82080078125,22,2
rc101,RoutingBlocks,590.4955019950867,2472,1100,1662.1551513671875,23,15
rc102,RoutingBlocks,992.3812775611876,3865,1100,1510.158447265625,15,14
rc103,RoutingBlocks,986.6511685848236,3824,1100,1361.6778564453125,25,12
rc104,RoutingBlocks,1118.3900201320648,4126,1100,1175.05712890625,17,11
rc105,RoutingBlocks,1448.2949783802032,4723,1100,1473.3363037109375,23,13
rc106,RoutingBlocks,484.94264030456543,2117,1100,1386.2535400390625,12,13
rc107,RoutingBlocks,524.4670941829681,2914,1100,1250.8018798828125,10,11
rc108,RoutingBlocks,565.4396212100983,2803,1100,1154.1387939453125,11,11
rc201,RoutingBlocks,322.2073013782501,2450,1100,1443.12548828125,28,4
rc202,RoutingBlocks,274.24493741989136,2147,1100,1406.181640625,12,3
rc203,RoutingBlocks,327.320969581604,2718,1100,1054.906005859375,13,3
rc204,RoutingBlocks,447.3569004535675,3375,1100,886.5736083984375,21,3
rc205,RoutingBlocks,515.7796795368195,3214,1100,1256.541259765625,15,3
rc206,RoutingBlocks,371.6882903575897,2815,1100,1184.609130859375,20,3
rc207,RoutingBlocks,407.75543665885925,3447,1100,990.5923461914062,27,3
rc208,RoutingBlocks,524.6029284000397,3864,1100,838.8616333007812,14,3
